Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011343 | lrm: 0.00 | dt: 9293ms | tok/sec: 28,207 | mfu: 1.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011376 | lrm: 0.00 | dt: 246ms | tok/sec: 1,067,672 | mfu: 46.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011384 | lrm: 0.00 | dt: 249ms | tok/sec: 1,053,605 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011366 | lrm: 0.00 | dt: 247ms | tok/sec: 1,060,168 | mfu: 45.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011341 | lrm: 0.00 | dt: 249ms | tok/sec: 1,053,848 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011339 | lrm: 0.00 | dt: 248ms | tok/sec: 1,057,693 | mfu: 45.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011352 | lrm: 0.00 | dt: 248ms | tok/sec: 1,055,486 | mfu: 45.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011338 | lrm: 0.00 | dt: 249ms | tok/sec: 1,052,222 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011333 | lrm: 0.00 | dt: 248ms | tok/sec: 1,058,183 | mfu: 45.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011323 | lrm: 0.00 | dt: 249ms | tok/sec: 1,054,546 | mfu: 45.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011321 | lrm: 0.00 | dt: 247ms | tok/sec: 1,059,425 | mfu: 45.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011338 | lrm: 0.00 | dt: 248ms | tok/sec: 1,056,744 | mfu: 45.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 9.011327 | lrm: 0.04 | dt: 249ms | tok/sec: 1,054,757 | mfu: 45.7% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 9.009040 | lrm: 0.08 | dt: 260ms | tok/sec: 1,007,985 | mfu: 43.7% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 9.002475 | lrm: 0.13 | dt: 268ms | tok/sec: 979,822 | mfu: 42.4% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 8.988052 | lrm: 0.17 | dt: 272ms | tok/sec: 963,787 | mfu: 41.7% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 8.957298 | lrm: 0.22 | dt: 270ms | tok/sec: 970,127 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 8.889554 | lrm: 0.26 | dt: 265ms | tok/sec: 989,732 | mfu: 42.9% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 8.768919 | lrm: 0.31 | dt: 269ms | tok/sec: 975,335 | mfu: 42.2% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 8.628367 | lrm: 0.35 | dt: 272ms | tok/sec: 962,944 | mfu: 41.7% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 8.461184 | lrm: 0.40 | dt: 267ms | tok/sec: 980,239 | mfu: 42.5% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 8.270156 | lrm: 0.44 | dt: 266ms | tok/sec: 986,683 | mfu: 42.7% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 8.073806 | lrm: 0.48 | dt: 270ms | tok/sec: 971,145 | mfu: 42.1% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 7.881243 | lrm: 0.53 | dt: 273ms | tok/sec: 960,056 | mfu: 41.6% | epoch: 1 | remaining: 297s    
step 00024 (1.1%) | loss: 7.694007 | lrm: 0.57 | dt: 265ms | tok/sec: 987,976 | mfu: 42.8% | epoch: 1 | remaining: 296s    
step 00025 (1.2%) | loss: 7.517869 | lrm: 0.62 | dt: 271ms | tok/sec: 968,113 | mfu: 41.9% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 7.351471 | lrm: 0.66 | dt: 272ms | tok/sec: 962,681 | mfu: 41.7% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 7.194590 | lrm: 0.71 | dt: 273ms | tok/sec: 961,126 | mfu: 41.6% | epoch: 1 | remaining: 295s    
step 00028 (1.5%) | loss: 7.051841 | lrm: 0.75 | dt: 268ms | tok/sec: 979,286 | mfu: 42.4% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 6.918025 | lrm: 0.80 | dt: 268ms | tok/sec: 977,293 | mfu: 42.3% | epoch: 1 | remaining: 295s    
step 00030 (1.7%) | loss: 6.789870 | lrm: 0.84 | dt: 267ms | tok/sec: 983,355 | mfu: 42.6% | epoch: 1 | remaining: 295s    
step 00031 (1.8%) | loss: 6.672845 | lrm: 0.89 | dt: 270ms | tok/sec: 971,793 | mfu: 42.1% | epoch: 1 | remaining: 294s    
step 00032 (1.9%) | loss: 6.565792 | lrm: 0.93 | dt: 267ms | tok/sec: 982,714 | mfu: 42.6% | epoch: 1 | remaining: 294s    
step 00033 (2.0%) | loss: 6.468149 | lrm: 0.98 | dt: 271ms | tok/sec: 967,041 | mfu: 41.9% | epoch: 1 | remaining: 294s    
step 00034 (2.0%) | loss: 6.376257 | lrm: 1.00 | dt: 271ms | tok/sec: 967,855 | mfu: 41.9% | epoch: 1 | remaining: 294s    
step 00035 (2.1%) | loss: 6.291201 | lrm: 1.00 | dt: 268ms | tok/sec: 979,235 | mfu: 42.4% | epoch: 1 | remaining: 293s    
step 00036 (2.2%) | loss: 6.211639 | lrm: 1.00 | dt: 272ms | tok/sec: 964,152 | mfu: 41.8% | epoch: 1 | remaining: 293s    
step 00037 (2.3%) | loss: 6.138409 | lrm: 1.00 | dt: 271ms | tok/sec: 968,828 | mfu: 42.0% | epoch: 1 | remaining: 293s    
step 00038 (2.4%) | loss: 6.069375 | lrm: 1.00 | dt: 269ms | tok/sec: 973,175 | mfu: 42.2% | epoch: 1 | remaining: 293s    
step 00039 (2.5%) | loss: 6.005331 | lrm: 1.00 | dt: 269ms | tok/sec: 973,119 | mfu: 42.2% | epoch: 1 | remaining: 292s    
step 00040 (2.6%) | loss: 5.948215 | lrm: 1.00 | dt: 267ms | tok/sec: 981,337 | mfu: 42.5% | epoch: 1 | remaining: 292s    
step 00041 (2.7%) | loss: 5.892453 | lrm: 1.00 | dt: 273ms | tok/sec: 961,743 | mfu: 41.7% | epoch: 1 | remaining: 292s    
step 00042 (2.8%) | loss: 5.842236 | lrm: 1.00 | dt: 269ms | tok/sec: 975,098 | mfu: 42.2% | epoch: 1 | remaining: 291s    
step 00043 (2.9%) | loss: 5.792283 | lrm: 1.00 | dt: 270ms | tok/sec: 971,033 | mfu: 42.1% | epoch: 1 | remaining: 291s    
step 00044 (2.9%) | loss: 5.746609 | lrm: 1.00 | dt: 269ms | tok/sec: 972,938 | mfu: 42.1% | epoch: 1 | remaining: 291s    
step 00045 (3.0%) | loss: 5.704594 | lrm: 1.00 | dt: 274ms | tok/sec: 958,261 | mfu: 41.5% | epoch: 1 | remaining: 291s    
