Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011343 | lrm: 1.00 | dt: 32580ms | tok/sec: 8,046 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.197971 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,179 | mfu: 43.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.968238 | lrm: 1.00 | dt: 259ms | tok/sec: 1,013,655 | mfu: 43.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.588701 | lrm: 1.00 | dt: 261ms | tok/sec: 1,002,752 | mfu: 43.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.191959 | lrm: 1.00 | dt: 285ms | tok/sec: 918,892 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.814684 | lrm: 1.00 | dt: 266ms | tok/sec: 986,540 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.508390 | lrm: 1.00 | dt: 261ms | tok/sec: 1,003,023 | mfu: 43.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.259635 | lrm: 1.00 | dt: 269ms | tok/sec: 975,545 | mfu: 42.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.047458 | lrm: 1.00 | dt: 274ms | tok/sec: 958,384 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.863867 | lrm: 1.00 | dt: 265ms | tok/sec: 988,193 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.709302 | lrm: 1.00 | dt: 264ms | tok/sec: 991,295 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.572056 | lrm: 1.00 | dt: 272ms | tok/sec: 964,604 | mfu: 41.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.449168 | lrm: 1.00 | dt: 270ms | tok/sec: 970,646 | mfu: 42.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.344752 | lrm: 1.00 | dt: 266ms | tok/sec: 985,504 | mfu: 42.7% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.251964 | lrm: 1.00 | dt: 266ms | tok/sec: 984,721 | mfu: 42.7% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 6.167006 | lrm: 1.00 | dt: 271ms | tok/sec: 967,990 | mfu: 41.9% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 6.092252 | lrm: 1.00 | dt: 271ms | tok/sec: 965,861 | mfu: 41.8% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 6.022288 | lrm: 1.00 | dt: 265ms | tok/sec: 990,979 | mfu: 42.9% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 5.961256 | lrm: 1.00 | dt: 270ms | tok/sec: 970,313 | mfu: 42.0% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 5.904065 | lrm: 1.00 | dt: 275ms | tok/sec: 952,675 | mfu: 41.3% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 5.850575 | lrm: 1.00 | dt: 269ms | tok/sec: 973,547 | mfu: 42.2% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 5.802700 | lrm: 1.00 | dt: 267ms | tok/sec: 982,029 | mfu: 42.5% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.760989 | lrm: 1.00 | dt: 267ms | tok/sec: 981,000 | mfu: 42.5% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 5.720841 | lrm: 1.00 | dt: 273ms | tok/sec: 960,252 | mfu: 41.6% | epoch: 1 | remaining: 296s    
step 00024 (1.2%) | loss: 5.683653 | lrm: 1.00 | dt: 267ms | tok/sec: 983,582 | mfu: 42.6% | epoch: 1 | remaining: 296s    
step 00025 (1.3%) | loss: 5.647492 | lrm: 1.00 | dt: 269ms | tok/sec: 974,324 | mfu: 42.2% | epoch: 1 | remaining: 296s    
step 00026 (1.3%) | loss: 5.613642 | lrm: 1.00 | dt: 270ms | tok/sec: 970,632 | mfu: 42.0% | epoch: 1 | remaining: 296s    
step 00027 (1.4%) | loss: 5.580977 | lrm: 1.00 | dt: 272ms | tok/sec: 963,114 | mfu: 41.7% | epoch: 1 | remaining: 295s    
step 00028 (1.5%) | loss: 5.553448 | lrm: 1.00 | dt: 267ms | tok/sec: 980,425 | mfu: 42.5% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 5.525979 | lrm: 1.00 | dt: 269ms | tok/sec: 974,871 | mfu: 42.2% | epoch: 1 | remaining: 295s    
step 00030 (1.7%) | loss: 5.495999 | lrm: 1.00 | dt: 269ms | tok/sec: 976,314 | mfu: 42.3% | epoch: 1 | remaining: 295s    
step 00031 (1.8%) | loss: 5.469446 | lrm: 1.00 | dt: 270ms | tok/sec: 969,790 | mfu: 42.0% | epoch: 1 | remaining: 294s    
step 00032 (1.9%) | loss: 5.443962 | lrm: 1.00 | dt: 268ms | tok/sec: 976,935 | mfu: 42.3% | epoch: 1 | remaining: 294s    
step 00033 (2.0%) | loss: 5.419225 | lrm: 1.00 | dt: 271ms | tok/sec: 966,666 | mfu: 41.9% | epoch: 1 | remaining: 294s    
step 00034 (2.1%) | loss: 5.393546 | lrm: 1.00 | dt: 269ms | tok/sec: 974,836 | mfu: 42.2% | epoch: 1 | remaining: 294s    
step 00035 (2.2%) | loss: 5.367432 | lrm: 1.00 | dt: 268ms | tok/sec: 979,436 | mfu: 42.4% | epoch: 1 | remaining: 293s    
step 00036 (2.2%) | loss: 5.342299 | lrm: 1.00 | dt: 270ms | tok/sec: 969,468 | mfu: 42.0% | epoch: 1 | remaining: 293s    
step 00037 (2.3%) | loss: 5.318085 | lrm: 1.00 | dt: 271ms | tok/sec: 966,149 | mfu: 41.8% | epoch: 1 | remaining: 293s    
step 00038 (2.4%) | loss: 5.292494 | lrm: 1.00 | dt: 270ms | tok/sec: 971,432 | mfu: 42.1% | epoch: 1 | remaining: 292s    
step 00039 (2.5%) | loss: 5.266857 | lrm: 1.00 | dt: 269ms | tok/sec: 976,124 | mfu: 42.3% | epoch: 1 | remaining: 292s    
step 00040 (2.6%) | loss: 5.245150 | lrm: 1.00 | dt: 269ms | tok/sec: 974,245 | mfu: 42.2% | epoch: 1 | remaining: 292s    
step 00041 (2.7%) | loss: 5.219993 | lrm: 1.00 | dt: 265ms | tok/sec: 990,150 | mfu: 42.9% | epoch: 1 | remaining: 292s    
step 00042 (2.8%) | loss: 5.197973 | lrm: 1.00 | dt: 271ms | tok/sec: 966,336 | mfu: 41.9% | epoch: 1 | remaining: 291s    
step 00043 (2.9%) | loss: 5.172509 | lrm: 1.00 | dt: 269ms | tok/sec: 975,202 | mfu: 42.2% | epoch: 1 | remaining: 291s    
step 00044 (3.0%) | loss: 5.148900 | lrm: 1.00 | dt: 273ms | tok/sec: 961,913 | mfu: 41.7% | epoch: 1 | remaining: 291s    
step 00045 (3.1%) | loss: 5.127310 | lrm: 1.00 | dt: 268ms | tok/sec: 979,608 | mfu: 42.4% | epoch: 1 | remaining: 291s    
step 00046 (3.1%) | loss: 5.102482 | lrm: 1.00 | dt: 271ms | tok/sec: 966,953 | mfu: 41.9% | epoch: 1 | remaining: 290s    
step 00047 (3.2%) | loss: 5.076111 | lrm: 1.00 | dt: 269ms | tok/sec: 974,417 | mfu: 42.2% | epoch: 1 | remaining: 290s    
step 00048 (3.3%) | loss: 5.051913 | lrm: 1.00 | dt: 271ms | tok/sec: 967,004 | mfu: 41.9% | epoch: 1 | remaining: 290s    
step 00049 (3.4%) | loss: 5.025920 | lrm: 1.00 | dt: 267ms | tok/sec: 981,520 | mfu: 42.5% | epoch: 1 | remaining: 289s    
step 00050 (3.5%) | loss: 5.005561 | lrm: 1.00 | dt: 272ms | tok/sec: 965,054 | mfu: 41.8% | epoch: 1 | remaining: 289s    
step 00051 (3.6%) | loss: 4.982062 | lrm: 1.00 | dt: 271ms | tok/sec: 968,364 | mfu: 41.9% | epoch: 1 | remaining: 289s    
step 00052 (3.7%) | loss: 4.961210 | lrm: 1.00 | dt: 269ms | tok/sec: 972,907 | mfu: 42.1% | epoch: 1 | remaining: 289s    
step 00053 (3.8%) | loss: 4.939510 | lrm: 1.00 | dt: 268ms | tok/sec: 977,325 | mfu: 42.3% | epoch: 1 | remaining: 288s    
step 00054 (3.9%) | loss: 4.914051 | lrm: 1.00 | dt: 270ms | tok/sec: 971,988 | mfu: 42.1% | epoch: 1 | remaining: 288s    
step 00055 (4.0%) | loss: 4.893082 | lrm: 1.00 | dt: 268ms | tok/sec: 976,461 | mfu: 42.3% | epoch: 1 | remaining: 288s    
step 00056 (4.0%) | loss: 4.872725 | lrm: 1.00 | dt: 271ms | tok/sec: 967,455 | mfu: 41.9% | epoch: 1 | remaining: 288s    
step 00057 (4.1%) | loss: 4.852546 | lrm: 1.00 | dt: 269ms | tok/sec: 972,958 | mfu: 42.1% | epoch: 1 | remaining: 287s    
step 00058 (4.2%) | loss: 4.831469 | lrm: 1.00 | dt: 271ms | tok/sec: 967,268 | mfu: 41.9% | epoch: 1 | remaining: 287s    
step 00059 (4.3%) | loss: 4.811193 | lrm: 1.00 | dt: 269ms | tok/sec: 975,791 | mfu: 42.3% | epoch: 1 | remaining: 287s    
step 00060 (4.4%) | loss: 4.792502 | lrm: 1.00 | dt: 273ms | tok/sec: 960,370 | mfu: 41.6% | epoch: 1 | remaining: 287s    
step 00061 (4.5%) | loss: 4.768900 | lrm: 1.00 | dt: 266ms | tok/sec: 985,566 | mfu: 42.7% | epoch: 1 | remaining: 286s    
step 00062 (4.6%) | loss: 4.747564 | lrm: 1.00 | dt: 272ms | tok/sec: 964,082 | mfu: 41.8% | epoch: 1 | remaining: 286s    
step 00063 (4.7%) | loss: 4.725525 | lrm: 1.00 | dt: 271ms | tok/sec: 968,678 | mfu: 42.0% | epoch: 1 | remaining: 286s    
step 00064 (4.8%) | loss: 4.703078 | lrm: 1.00 | dt: 269ms | tok/sec: 973,476 | mfu: 42.2% | epoch: 1 | remaining: 285s    
step 00065 (4.9%) | loss: 4.681201 | lrm: 1.00 | dt: 269ms | tok/sec: 976,317 | mfu: 42.3% | epoch: 1 | remaining: 285s    
