Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011262 | lrm: 1.00 | dt: 27303ms | tok/sec: 9,601 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.867334 | lrm: 1.00 | dt: 155ms | tok/sec: 1,696,627 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.486185 | lrm: 1.00 | dt: 157ms | tok/sec: 1,665,422 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.034199 | lrm: 1.00 | dt: 157ms | tok/sec: 1,670,749 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.655219 | lrm: 1.00 | dt: 158ms | tok/sec: 1,660,096 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.322779 | lrm: 1.00 | dt: 156ms | tok/sec: 1,680,496 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.069896 | lrm: 1.00 | dt: 184ms | tok/sec: 1,426,173 | mfu: 34.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.865054 | lrm: 1.00 | dt: 190ms | tok/sec: 1,381,474 | mfu: 33.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.690697 | lrm: 1.00 | dt: 156ms | tok/sec: 1,682,615 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.542525 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,956 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.419379 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,596 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.310467 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,002 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.212939 | lrm: 1.00 | dt: 170ms | tok/sec: 1,538,122 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.130906 | lrm: 1.00 | dt: 172ms | tok/sec: 1,524,808 | mfu: 36.8% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 6.058162 | lrm: 1.00 | dt: 163ms | tok/sec: 1,610,333 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.991166 | lrm: 1.00 | dt: 159ms | tok/sec: 1,650,541 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.931999 | lrm: 1.00 | dt: 157ms | tok/sec: 1,669,118 | mfu: 40.3% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.875011 | lrm: 1.00 | dt: 159ms | tok/sec: 1,648,277 | mfu: 39.8% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.824961 | lrm: 1.00 | dt: 165ms | tok/sec: 1,590,871 | mfu: 38.4% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.777808 | lrm: 1.00 | dt: 169ms | tok/sec: 1,552,362 | mfu: 37.5% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.733449 | lrm: 1.00 | dt: 164ms | tok/sec: 1,601,264 | mfu: 38.7% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.693379 | lrm: 1.00 | dt: 161ms | tok/sec: 1,624,588 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.658429 | lrm: 1.00 | dt: 160ms | tok/sec: 1,640,410 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00023 (0.7%) | loss: 5.624478 | lrm: 1.00 | dt: 160ms | tok/sec: 1,639,591 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.592812 | lrm: 1.00 | dt: 165ms | tok/sec: 1,590,638 | mfu: 38.4% | epoch: 1 | remaining: 298s    
step 00025 (0.8%) | loss: 5.560701 | lrm: 1.00 | dt: 164ms | tok/sec: 1,597,409 | mfu: 38.6% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.529689 | lrm: 1.00 | dt: 162ms | tok/sec: 1,617,613 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00027 (0.9%) | loss: 5.499575 | lrm: 1.00 | dt: 160ms | tok/sec: 1,634,891 | mfu: 39.5% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.473164 | lrm: 1.00 | dt: 158ms | tok/sec: 1,658,391 | mfu: 40.1% | epoch: 1 | remaining: 297s    
step 00029 (1.0%) | loss: 5.446547 | lrm: 1.00 | dt: 158ms | tok/sec: 1,654,712 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.416743 | lrm: 1.00 | dt: 163ms | tok/sec: 1,608,032 | mfu: 38.9% | epoch: 1 | remaining: 297s    
